Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1741938118,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741938119,10,,Aggregated,0.000000,0.000000,26,31,33,33,38,43,43,43,43,43,43,13,0,26,23.990871778760965,2.4278430500999093,42.81112493481487,71122.23076923077
1741938119,20,,Aggregated,0.000000,0.000000,24,26,30,31,33,38,43,43,43,43,43,21,0,24,20.245700586764585,2.4278430500999093,42.81112493481487,74886.90476190476
1741938120,20,,Aggregated,0.000000,0.000000,25,31,35,43,54,62,67,67,67,67,67,38,0,24,25.792413951804566,2.4278430500999093,66.7947210604325,92343.73684210527
1741938120,30,,Aggregated,0.000000,0.000000,24,30,33,38,54,62,67,67,67,67,67,47,0,24,25.555802702388547,2.4278430500999093,66.7947210604325,97044.1914893617
1741938121,30,,Aggregated,10.000000,0.000000,24,28,33,35,48,56,62,67,67,67,67,66,0,24,25.071358197072353,2.4278430500999093,66.7947210604325,90854.62121212122
1741938121,40,,Aggregated,10.000000,0.000000,22,26,30,33,44,54,62,67,67,67,67,82,0,21,23.621505573562278,2.4278430500999093,66.7947210604325,89351.89024390244
1741938122,40,,Aggregated,16.000000,0.000000,22,25,30,31,43,54,62,67,86,86,86,121,0,22,23.049219692326034,2.4278430500999093,85.68238897714764,87007.00826446281
1741938122,50,,Aggregated,16.000000,0.000000,21,25,30,32,43,54,62,67,86,86,86,143,0,21,22.404772926356408,2.4278430500999093,85.68238897714764,85450.03496503497
1741938123,50,,Aggregated,19.333333,0.000000,21,26,31,33,47,56,62,67,86,86,86,176,0,21,22.649524559462655,2.4278430500999093,85.68238897714764,86427.10795454546
1741938123,60,,Aggregated,19.333333,0.000000,19,25,30,33,43,54,62,65,86,86,86,214,0,19,22.044463805575795,2.4278430500999093,85.68238897714764,82002.7476635514
1741938124,60,,Aggregated,24.000000,0.000000,18,24,28,31,43,53,62,65,86,86,86,240,0,18,21.241720647958573,2.4278430500999093,85.68238897714764,80828.04166666667
1741938124,70,,Aggregated,24.000000,0.000000,19,25,28,31,42,50,62,67,86,86,86,275,0,19,21.247621935114942,2.4278430500999093,85.68238897714764,80398.04727272727
1741938125,70,,Aggregated,31.400000,0.000000,18,24,28,31,42,53,62,65,86,86,86,320,0,18,20.83279133621545,2.2567249834537506,85.68238897714764,79266.50625
1741938125,80,,Aggregated,31.400000,0.000000,18,25,28,31,43,53,62,65,86,86,86,358,0,18,21.118778586140497,2.2567249834537506,85.68238897714764,81336.32960893854
1741938126,80,,Aggregated,35.833333,0.000000,18,25,29,32,43,54,65,69,110,110,110,393,0,18,21.46284887656029,2.2567249834537506,105.90396099723876,83597.49618320611
1741938126,90,,Aggregated,35.833333,0.000000,18,25,28,31,43,53,65,69,110,110,110,444,0,18,21.22690676169277,2.2567249834537506,105.90396099723876,81839.66441441441
1741938127,90,,Aggregated,40.142857,0.000000,18,24,28,31,43,53,65,71,110,110,110,492,0,18,20.979938621876943,2.2567249834537506,105.90396099723876,82634.56504065041
1741938127,100,,Aggregated,40.142857,0.000000,18,24,29,31,42,53,63,69,110,110,110,551,0,18,21.150709988934725,2.2567249834537506,105.90396099723876,84080.833030853
1741938128,100,,Aggregated,45.750000,0.000000,18,25,29,31,42,53,63,69,110,110,110,599,0,18,21.11442993882459,2.2567249834537506,105.90396099723876,85094.77462437395
1741938128,110,,Aggregated,45.750000,0.000000,18,25,29,31,41,49,62,68,110,110,110,651,0,18,21.028802992658726,2.2567249834537506,105.90396099723876,84712.133640553
1741938129,110,,Aggregated,49.555556,0.000000,18,24,28,30,40,49,62,68,110,110,110,697,0,18,20.93963953566175,2.204295014962554,105.90396099723876,85456.85222381636
1741938129,120,,Aggregated,49.555556,0.000000,18,25,28,30,40,49,62,69,110,110,110,753,0,18,21.158327421811652,2.204295014962554,105.90396099723876,85732.57370517928
1741938130,120,,Aggregated,55.200000,0.000000,19,25,29,31,41,53,64,69,110,110,110,819,0,19,21.36028589756411,2.204295014962554,105.90396099723876,86740.26373626373
1741938130,130,,Aggregated,55.200000,0.000000,19,25,29,31,41,52,65,71,110,110,110,884,0,19,21.505979604321656,2.204295014962554,105.90396099723876,87367.92194570135
1741938131,130,,Aggregated,64.500000,0.000000,19,25,28,30,41,52,65,69,110,110,110,938,0,19,21.274475995868222,2.204295014962554,105.90396099723876,86798.23773987207
1741938131,140,,Aggregated,64.500000,0.000000,19,25,28,31,41,50,64,69,93,110,110,1017,0,19,21.360318916950526,2.204295014962554,105.90396099723876,86946.47000983285
1741938132,140,,Aggregated,72.800000,0.000000,19,25,29,31,41,51,67,73,93,110,110,1084,0,19,21.492530226430812,2.204295014962554,105.90396099723876,87866.61623616236
1741938132,150,,Aggregated,72.800000,0.000000,19,25,29,31,41,50,67,73,93,110,110,1156,0,19,21.528117344485093,2.204295014962554,105.90396099723876,88350.8650519031
1741938133,150,,Aggregated,82.800000,0.000000,19,25,28,31,40,50,65,71,93,110,110,1226,0,19,21.336716452866433,2.0080290269106627,105.90396099723876,87980.12479608483
1741938133,160,,Aggregated,82.800000,0.000000,19,25,28,31,39,49,64,69,93,110,110,1308,0,19,21.20498845827928,2.0080290269106627,105.90396099723876,87141.55733944954
1741938134,160,,Aggregated,92.700000,0.000000,19,24,28,30,39,49,63,69,93,110,110,1383,0,19,21.13043716926847,2.0080290269106627,105.90396099723876,86955.27838033262
1741938134,170,,Aggregated,92.700000,0.000000,19,25,29,31,40,49,63,69,93,110,110,1479,0,19,21.264323188061873,2.0080290269106627,105.90396099723876,86811.98377281947
1741938135,170,,Aggregated,100.800000,0.000000,19,25,28,31,39,50,63,69,110,110,110,1557,0,19,21.13976601357814,2.0080290269106627,106.8760190391913,86392.3885677585
1741938135,180,,Aggregated,100.800000,0.000000,19,25,29,31,40,50,63,69,110,110,110,1651,0,19,21.340258517666413,2.0080290269106627,106.8760190391913,86913.18473652333
1741938136,180,,Aggregated,109.700000,0.000000,19,24,28,31,39,49,63,69,110,110,110,1736,0,19,21.09409023069858,2.0080290269106627,106.8760190391913,85860.34043778802
1741938136,190,,Aggregated,109.700000,0.000000,19,24,28,31,39,49,63,69,110,110,110,1840,0,19,21.050648464006372,2.0080290269106627,106.8760190391913,85790.41467391304
1741938137,190,,Aggregated,120.100000,0.000000,19,24,28,31,39,49,63,69,110,110,110,1954,0,19,21.121714744352744,2.0080290269106627,106.8760190391913,85870.95547594677
1741938137,200,,Aggregated,120.100000,0.000000,19,24,28,31,40,49,63,69,93,110,110,2066,0,19,21.307516727115985,2.0080290269106627,106.8760190391913,86165.53339787028
1741938138,200,,Aggregated,128.900000,0.000000,19,24,28,31,40,49,63,69,110,110,110,2156,0,19,21.30028741142206,2.0080290269106627,114.03309495653957,86217.77597402598
1741938138,200,,Aggregated,128.900000,0.000000,19,24,28,31,40,49,62,69,110,110,110,2254,0,19,21.31823569273009,2.0080290269106627,114.03309495653957,86441.71339840283
1741938139,200,,Aggregated,139.900000,0.000000,19,24,28,31,40,50,63,69,110,110,110,2359,0,19,21.316445854294297,2.0080290269106627,114.03309495653957,85840.47308181433
1741938139,200,,Aggregated,139.900000,0.000000,19,24,28,31,40,50,63,69,110,110,110,2451,0,19,21.349015311825898,2.0080290269106627,114.03309495653957,86595.66993064055
1741938140,200,,Aggregated,151.500000,0.000000,19,24,28,31,40,50,63,69,110,110,110,2550,0,19,21.270228820789022,2.0080290269106627,114.03309495653957,86460.51921568628
1741938140,200,,Aggregated,151.500000,0.000000,19,24,28,31,39,49,62,69,110,110,110,2635,0,19,21.216135635968488,2.0080290269106627,114.03309495653957,86434.54535104365
1741938141,200,,Aggregated,160.200000,0.000000,19,24,28,31,39,49,62,69,110,110,110,2724,0,19,21.24153752247126,2.0080290269106627,114.03309495653957,86772.88179148312
1741938141,200,,Aggregated,160.200000,0.000000,19,24,28,31,39,49,62,69,110,110,110,2821,0,19,21.250685108350165,2.0080290269106627,114.03309495653957,86767.14781992201
1741938142,200,,Aggregated,169.400000,0.000000,19,24,28,31,39,49,62,69,110,110,110,2917,0,19,21.194334283069143,2.0080290269106627,114.03309495653957,86515.72094617758
1741938142,200,,Aggregated,169.400000,0.000000,19,24,28,31,39,49,63,72,110,110,110,3030,0,19,21.200859506818905,2.0080290269106627,114.03309495653957,86572.16831683168
1741938143,200,,Aggregated,175.100000,0.000000,19,24,28,31,39,49,64,73,110,110,110,3126,0,19,21.202706752897026,2.0080290269106627,114.03309495653957,86505.92738323736
1741938143,200,,Aggregated,175.100000,0.000000,19,24,28,31,39,50,64,74,110,110,110,3219,0,19,21.241585231415346,2.0080290269106627,114.03309495653957,86426.90618204411
